Player-additional,Player,FG%
divindo01,Donte DiVincenzo,0.427
clarkbr01,Brandon Clarke,0.656
joeis01,Isaiah Joe,0.453
kesslwa01,Walker Kessler,0.721
lowryky01,Kyle Lowry,0.402
carteje01,Jevon Carter,0.43
bryanth01,Thomas Bryant,0.628
alvarjo01,Jose Alvarado,0.411
niangge01,Georges Niang,0.452
willigr01,Grant Williams,0.452
miltosh01,Shake Milton,0.495
vandeja01,Jarred Vanderbilt,0.548
hylanbo01,Bones Hyland,0.391
vincega01,Gabe Vincent,0.397
horfoal01,Al Horford,0.483
wagnemo01,Moritz Wagner,0.499
nembhan01,Andrew Nembhard,0.423
sharpsh01,Shaedon Sharpe,0.473
smithja04,Jalen Smith,0.465
griffaj01,AJ Griffin,0.469
thomaca02,Cam Thomas,0.439
whiteco01,Coby White,0.417
diallha01,Hamidou Diallo,0.573
mccontj01,T.J. McConnell,0.533
anderky01,Kyle Anderson,0.517
curryse01,Seth Curry,0.464
greendr01,Draymond Green,0.523
joneshe01,Herbert Jones,0.453
kuminjo01,Jonathan Kuminga,0.506
durenja01,Jalen Duren,0.633
hortota01,Talen Horton-Tucker,0.42
lylestr01,Trey Lyles,0.485
branhma01,Malaki Branham,0.448
craigto01,Torrey Craig,0.445
looneke01,Kevon Looney,0.644
harrijo01,Joe Harris,0.456
bullore01,Reggie Bullock,0.404
grahade01,Devonte' Graham,0.384
greenjo02,Josh Green,0.536
finnedo01,Dorian Finney-Smith,0.394
manntr01,Tre Mann,0.391
okorois01,Isaac Okoro,0.494
johnsca02,Cameron Johnson,0.456
bateske01,Keita Bates-Diop,0.499
browntr01,Troy Brown Jr.,0.433
poweldw01,Dwight Powell,0.722
richani01,Nick Richards,0.623
townska01,Karl-Anthony Towns,0.505
suggsja01,Jalen Suggs,0.417
okogijo01,Josh Okogie,0.399
loveke01,Kevin Love,0.389
smithde03,Dennis Smith Jr.,0.422
payneca01,Cameron Payne,0.419
willike04,Kenrich Williams,0.517
rosste01,Terrence Ross,0.435
achiupr01,Precious Achiuwa,0.472
hausesa01,Sam Hauser,0.453
connapa01,Pat Connaughton,0.382
eubandr01,Drew Eubanks,0.68
batumni01,Nicolas Batum,0.415
landajo01,Jock Landale,0.521
nancela02,Larry Nance Jr.,0.617
walljo01,John Wall,0.408
nunnke01,Kendrick Nunn,0.419
oladivi01,Victor Oladipo,0.392
wiggiaa01,Aaron Wiggins,0.497
mitchda01,Davion Mitchell,0.455
middlkh01,Khris Middleton,0.424
princta02,Taurean Prince,0.476
nworajo01,Jordan Nwora,0.424
baglema01,Marvin Bagley III,0.531
roddyda01,David Roddy,0.444
robinmi01,Mitchell Robinson,0.688
duartch01,Chris Duarte,0.372
kennalu01,Luke Kennard,0.456
adamsst01,Steven Adams,0.597
greenje02,Jeff Green,0.5
sumneed01,Edmond Sumner,0.457
lamban01,Anthony Lamb,0.475
daviste02,Terence Davis,0.431
toppiob01,Obi Toppin,0.417
jacksis01,Isaiah Jackson,0.567
reddica01,Cam Reddish,0.451
harteis01,Isaiah Hartenstein,0.514
beverpa01,Patrick Beverley,0.408
drumman01,Andre Drummond,0.62
greenja01,JaMychal Green,0.533
johnsja05,Jalen Johnson,0.48
saricda01,Dario Šarić,0.457
konchjo01,John Konchar,0.433
harriga01,Gary Harris,0.452
dragigo01,Goran Dragić,0.425
bartowi01,Will Barton,0.381
gabriwe01,Wenyen Gabriel,0.606
bambamo01,Mo Bamba,0.487
watfotr01,Trendon Watford,0.556
carusal01,Alex Caruso,0.44
josepco01,Cory Joseph,0.427
muscami01,Mike Muscala,0.435
wisemja01,James Wiseman,0.575
brissos01,Oshae Brissett,0.399
jeromty01,Ty Jerome,0.488
tillmxa01,Xavier Tillman Sr.,0.596
willima07,Mark Williams,0.641
alexani01,Nickeil Alexander-Walker,0.456
littlna01,Nassir Little,0.459
simmobe01,Ben Simmons,0.566
watanyu01,Yuta Watanabe,0.507
hardyja02,Jaden Hardy,0.416
liveris01,Isaiah Livers,0.407
shamela01,Landry Shamet,0.38
stevela01,Lamar Stevens,0.463
harremo01,Montrezl Harrell,0.602
goodwjo01,Jordan Goodwin,0.449
metuch01,Chimezie Metu,0.605
braunch01,Christian Braun,0.509
cancavl01,Vlatko Čančar,0.49
wrighde01,Delon Wright,0.47
